"","x"
"11","저는 새로운 것을 접하고 그것을 통해 제 주변에 도움을 주는 것을 좋아합니다.저는 어릴 때부터 다양한 전자제품을 사용하는 것을 좋아했습니다. 주변에 있는 기계를 만져 보고, 새로운 걸 발견하면 가족에게 알려 주고는 하였습니다. 기능이 있음에도 아무도 몰랐던 것들을 발견하며 보람을 느꼈습니다. 학창시절에는 컴퓨터 관리를 맡아서 하였고, 주변에서 MP3 플레이어같은 작은 전자제품을 사용하다가 모르는 게 있으면 제게 찾아와서 물어보기도 했습니다. 또한 다양한 전자제품을 사고 팔면서 새로운 것들을 접하는 즐거움을 느꼈습니다. 1대학교에 진학해서는 고전음악 감상 동아리에서 활동하였습니다. 현재까지 활동하며 음향 장비 조작을 가르쳐 주는 역할을 했고 동아리방의 환경을 개선하는 데도 항상 관심을 가졌습니다.한편 저는 2년간 공군에서 정훈병으로 복무했습니다. 새로운 것을 배우는 보람과 다른 사람을 도와 주는 즐거움으로 군 생활을 보냈습니다. 영화 상영, 영상 촬영과 편집 등 많은 새로운 일을 배우면서 보람을 느꼈고, 새로운 장비가 들어오면 가장 먼저 배워서 알려주고, 자전거를 도맡아서 수리해 주기도 했습니다.전역 이후에는 제 전공과 관련이 깊은 데이터 처리와 분석에 대해 관심을 가져 빅데이터 동아리에 가입하였습니다. 데이터 처리를 위해 통계패키지인 R과 프로그래밍 언어인 PYTHON을 배웠습니다. 동아리에서 활동하면서 프로그래밍을 배우는 것에 즐거움을 느꼈고, 데이터를 처리하고 분석하는 것에 대한 흥미를 가지게 되었습니다. 한편 동아리원들과 엠티를 갔었는데, 개인적으로 재료를 더 사와서 끓여 준 찌개가 반응이 매우 좋았던 것이 동아리에서 가장 보람 있는 일이었습니다. 올해 여름에 롯데멤버스에서 했던 인턴 프로그램에서는 SAS를 사용하여 데이터 분석 경험을 쌓았습니다. 1작년 10월 부터는 여러 방면에서 도움을 받았던 교내 커뮤니티에 보탬이 되고자 게시판 관리자를 맡아 불량 게시물을 삭제하고 유저와 소통하는 일을 맡고 있습니다.                         979자1,689                    "
"12","저는 프로그래밍을 배우고 평소에 관심이 많았던 IT 업계에서 일하기 위해 IT OO Academy에 지원하였습니다.제가 어릴 땐 시내버스에 토큰이라는 것이 있었고, 지하철을 탈 땐 종이로 된 승차권을 사용했습니다. 하지만 지금은 휴대폰으로 직접 결제를 하는 세상이 되었습니다. 최근 20년간 IT 기술의 우리 삶의 모습을 완전히 바꿔 놓았고, 저는 어릴 때 부터 새로운 기술에 관심을 많이 가져 왔고, IT가 앞으로 어떻게 삶을 바꿔 나갈지에 대해 알고 싶습니다. 1통계학과에 재학하며 다양한 수업을 들었지만, 제가 가장 관심이 있었던 것은 통계 프로그래밍 수업이었습니다. R이나 SQL 코드를 짜서 결과를 도출하는 것은 정말 흥미로운 일이었습니다. 빅데이터 동아리에서 학회를 할 때도 통계 프로그래밍을 공부했습니다. R과 PYTHON을 이용해 내부 과제를 수행했습니다. 코딩에 관심이 있어 개인적으로 C와 PYTHON을 공부하기도 하였습니다. 1                         474자787                    "
"13","담당 지역의 양판점/대리점이 최고의 판매 역량을 갖추게 함으로써 상권 내 최대 효율의 경쟁력을 발휘할 수 있게 만들겠습니다. 목표 달성을 위해 다음과 같은 구체적 계획을 설정했으며, 반드시 목표를 이행하겠습니다.1년, 관리자의 자격제품과 시장에 대해 열의를 가지고 공부하여 입사 1년 내에 한 사람 몫 그 이상을 할 수 있는 영업관리자가 되겠습니다.3년, Channel Booster현장을 통찰력있는 시각으로 조망하며 매장 환경 및 판매 방식의 문제점을 개선해 나가겠습니다. 이를 통해 담당 지역 내 모든 매장이 최대의 매출/영업이익 상의 성과를 낼 수 있게 하겠습니다.5년, 현장의 마에스트로고객을 누구보다 잘 알고, 고객에게 사랑받는 매장을 조성하고 판매원을 양성하는 영업관리자로 자리 잡겠습니다.10년, Supporting Leader신 성장동력을 모색하며, 후배들이 더욱 효율적으로 기분좋게 일할 수 있는 환경을 조성하는 리더로 성장하겠습니다.                         500자820                    "
"14","‘도전의 가치를 알고 있는지’, ‘삶 속에 얼마나 녹아있는지’ 이 두 가지가 제가 회사를 선택하는 기준입니다. 그 기업의 발전 가능성을 보여주는 지표가 도전이라고 생각합니다. 도전은 움직이게 합니다. 그리고 도전은 혁신과 발전을 가져옵니다. 실패하더라고 배울 수 있는 점을 만들어내고 미래의 모습을 그리게 합니다. 그리고 기업은 사람의 삶 속에 녹아있어야 합니다. 같이 살아가며 사람들의 원동력이 되어야 하고 잊혀지면 안됩니다. 그리고 LG디스플레이는 이것의 가치를 알고 있습니다.LG디스플레이는 도전의 가치를 알고 있습니다. 그리고 제가 보는 LG디스플레이는 도전을 최고의 미덕으로 삼고 있습니다. IPS, AIT, 3D와 같은 기술분야 그리고 세계최고의 디스플레이 제품을 생산해냈고 투명 플렉서블 디스플레이와 같은 새로운 방향으로 또 다시 도전하고 있습니다. 한 명의 LG디스플레이 직원으로서 단기적으로는 업무의 전문성을 갖고 멀게는 생산기술 분야의 전문가가 되어 LG디스플레이의 도전에 함께하고 싶습니다.LG디스플레이는 우리의 삶 속에 녹아있습니다. 지금도 많은 사람들의 곁에 LG디스플레이의 제품이 자리잡아 삶의 질을 높여줍니다. 저는 제가 가진 가치를 사람들의 삶에 녹아 들도록 하고 싶고 LG디스플레이에서 완벽한 제품을 생산해내는 생산기술 직무를 통해 실현하고 싶습니다.산학협력인턴으로 OO사에서 근무를 한 경험이 있습니다. 근무기간 동안 일관되며 정확한 동작을 수행하는 기기를 보면서 그것에 매료되는 저를 발견할 수 있었고 또한 생산기기의 작동오류와 이에 따른 작업의 지연 및 생산량의 하락을 볼 수 있었습니다. 이는 정밀한 동작수행과 높은 안정도를 통해 양질의 제품 생산 및 생산량 증대를 가능하게 하는 자동화 설비 시스템 설계를 진행하고 싶다는 생각으로 바뀌었고 이를 실현하기 위해서 역량을 키워왔습니다. 완벽한 생산과 품질개선을 위한 새로운 시스템개발에 제가 같이 있고 싶습니다. 제 세부전공인 제어로봇공학의 전공적 지식과 걸어온 길은 이곳에서 꽃을 피울 수 있을 것 입니다.                         1,046자1,789                    "
"15","지원 회사 선택 시 제 자신에게 묻는 질문은 두 개입니다. 첫 번째 질문은 ‘끊임없이 도전하고 혁신하는 회사인가?’이고 두 번째 질문은 ‘내가 그 회사에 기여할 수 있는가?’입니다. 이 두 질문에 제가 자신 있게 대답할 수 있는 회사가 LG상사였습니다. [도전의 가치를 알고 있습니다]저의 인생의 중요한 순간에 도전하는 것을 주저하지 않았습니다. 고등학교 선택 시 전통이 있는 외국어 고등학교 대신에 개교한지 1년이 되는 외고를 선택했고, 대학교도 새로 개설된 학과를 선택했습니다. 이러한 도전을 통해 저는 한 단계 더 성장할 수 있었습니다.제가 진학한 고등학교는 기숙사학교였습니다. 아직 미성숙했던 시절 저는 기숙사 생활을 통해 커뮤니케이션 능력과 적극적인 대인관계 능력을 기를 수 있었습니다. 대학교에서는 저의 과만의 수강선택 정책으로 인해 전문성을 가진 Generalist로서의 역량을 키울 수 있었습니다. 도전은 저의 발전과 성장의 원동력입니다.[LG상사는 고인 물이 아닙니다] 고인 물은 썩는다는 속담에서 알 수 있듯 발전 없는 사람은 남보다 뒤떨어지게 됩니다. 저는 도전을 한 경험을 통해 사람처럼 기업도 도전과 혁신을 하지 않는다면 고인 물이 되어 성장하지 못 할 것이고 위기에 빠질 것이라는 것을 알게 되었습니다.                          652자1,098                    "
"16","재무는 숫자와 한순간의 실수로 회사에 손실을 끼칠 수 있는 돈을 다루기 때문에 직무지식과 더불어 분석력과 꼼꼼함이 필요하다고 생각합니다.[재무에 열정을 쏟았습니다]XXX 프로젝트를 수행했습니다. 재무를 담당한 저는 재무팀의 업무를 간접 체험했습니다. 재무적 접근을 통해 회사를 종합적으로 지원하는 역할이 매력적이었습니다. 재무의 중요함을 느꼈고 흥미를 가졌습니다. 전공학점의 약 50%를 재무 관련 과목으로 수강했고 평균 4.0 이상의 학점을 받았습니다 재무와 관련된 진로를 고민했고 회계사에 도전했습니다. 1차만 통과하고 최종 합격은 하지 못했지만 재무, 회계학 그리고 세법과 관련하여 심화된 지식을 습득했습니다. [꼼꼼함]1년여 동안 XXX에서 영문과 국문 서신 번역 검수 업무를 했습니다. 매주 10여 통의 국문과 영문으로 번역된 서신이 배정되었고, 잘못된 번역이나 오타가 없는지 꼼꼼히 확인했습니다. 1년여간 약 500여 통의 서신을 검수하였고 자연스럽게 꼼꼼함이 몸에 배었습니다.[분석력]XXX 인턴 당시 새롭게 도입되는 ERP에 대한 분석 지원 업무를 맡았습니다. ERP에 대한 지식이 없던 저는 전산부서에서 자료를 받아 공부했습니다. 기존 사용 ERP 매뉴얼과 도입되는 ERP 매뉴얼을 분석하여 차이점을 자료로 가공해서 팀원들에게 제공했습니다.[프로그램 활용 능력]복잡한 재무 데이터의 효율적 처리를 위해 필요한 엑셀과 같은 프로그램의 활용능력이 부족합니다. 실무활용도가 높은 컴퓨터 활용능력 1급 시험공부를 하여 프로그램 활용 능력을 기르겠습니다.심화된 직무지식과 역량을 갖췄습니다. 데이터 처리 활용 능력을 보완하여 재무 상황에 대한 정확한 분석을 제공하고 꼼꼼하게 현금흐름을 관리하여 LG전자에 기여하겠습니다.                         895자1,503                    "
"17","소통을 통한 팀워크의 중요성을 알고 있습니다. XXX 학회에서 활동했습니다. 5명이 한 팀으로 구성되었는데, 모두 전공이 달랐습니다.서로 다른 전공과 성향을 가졌고 관심 분야가 달랐기에 의견 충돌이 계속되었고 업무 진행은 제자리였습니다. 팀원들과 대화의 장을 마련했습니다. 서로에게 가진 불만을 들었고, 업장 방문 전과 후에 지속적으로 대화의 시간을 갖기로 했습니다. 협력을 통해 일을 하니 시너지가 창출되었습니다. 서로의 강점은 강화되었고 약점은 보완이 되었습니다. 컨설팅은 잘 진행되어 저희가 맡은 업장은 월 100만 원의 적자에서 50만 원의 흑자로 전환되었습니다.경험을 통해 소통을 통한 팀워크의 필요성을 느꼈습니다. 경험을 바탕으로 부서 내 소통은 물론 타 부서와의 소통도 소홀히 하지 않겠습니다. 소통과 협력으로 행복한 직장공간을 만들고 효율적으로 업무를 수행하여 LG하우시스에 기여하겠습니다.                         464자790                    "
"18","[환자를 위한 만병통치약, MR ooo]무궁무진한 성장 가능성을 지닌 LG생명과학에서 'Sales Specialist'로 성장하기 위해 LG생명과학의 문을 두드립니다.급속하게 진행되고 있는 고령화의 추세로 제약업이 신성장동력으로 급부상하고 있습니다. 많은 헬스케어 기업 중에서도 LG생명과학은 당뇨병 치료제 제미글로, 5가 혼합백신 유펜타를 비롯하여 관절염, 필러 등 많은 부문에서 탄탄한 파이프라인을 보유하고 있습니다. 하지만 현실에 안주하지 않고 신약 개발을 위해 지속적으로 R&D에 투자하는 모습에서 LG생명과학의 밝은 내일을 엿볼 수 있었습니다.제약 영업은 타 영업과 달리 의약품 정보를 습득하며 전문성을 기를 수 있는 분야입니다. 이에 더해, 누군가에게 건강한 삶을 선물한다는 점도 제약 영업이 가진 매력 중 하나입니다. 기술력과 경쟁력을 갖춘 LG생명과학의 제품에 저의 적극적인 영업력을 더하여 환자의 밝은 내일을 열어가는 신입 MR ooo가 되겠습니다.[Top Performer, 기동 준비 완료!]LG생명과학의 탑 퍼포머 MR이 되기 위해 첫째, 세일즈 노하우를 체득했습니다. 백화점과 마트 등에서 세일즈 경험을 쌓으며 느낀 것은 '고객의 입장'에서 생각하는 것이 무엇보다 중요하다는 것이었습니다. 이 깨달음을 바탕으로 영업 실무에 뛰어든 결과, 마트에서 전통차 800세트 완판, oooooo 'oo사회' 잡지 구독 전국 2위라는 성과를 달성하였습니다.둘째, 제약사 MR 선배들의 멘토링 프로그램에 참여했습니다. 사소하게는 ETC와 OTC의 차이부터, 제약 영업의 노하우까지 살아있는 현장의 소리를 들을 수 있었습니다. 또한, 선배들과 제약 영업에 대해 깊이 있는 대화를 나누며 저의 적성이 제약 영업에 부합할지 알아보는 시간을 가지기도 했습니다.이런 과정을 통해 제가 잘 할 수 있으며 좋아할 수 있는 일이 바로 '제약 영업'이라는 확신을 가졌습니다. 일을 즐기면서 동시에 최고의 성과를 창출하는 '1등 LG'의 '1등 MR'이 되겠습니다.                         1,011자1,656                    "
"19","이제는 태블릿 PC로 직접 주문과 적립을 하는 시대입니다. Display는 더 이상 출력이 전부가 아니며 IoT 성장에 따라 OLED는 더욱 주목받을 것입니다. 이러한 성장 가능성을 통해 OLED에 관심을 키웠습니다. LG Display는 POLED를 차량용 CID에 탑재하는 등 차별화된 노력으로 지속적인 성장을 하고 있습니다. 이러한 OLED 시장 지배에는 높은 수율과 가격 경쟁력 확보가 필수라고 생각합니다. 효율적인 공정관리를 통해 최고 경쟁력 생산체제를 구축하겠습니다. 이로써 Global No.1 LG Display를 이끌어 나가겠습니다.[OTFT 제작 경험]‘Insulator 종류에 따른 Flexible TFT 제작 및 특성연구‘ 프로젝트는 Display 연구를 넘어 실제 공정운영까지 이해하는 데 큰 도움이 됐습니다. 저는 소자 제작과 장비 운용을 하며 발생 가능한 공정오류를 고려했습니다. 특히 이물에 의한 특성저하 때문에 실험을 수차례 반복하며 공정운영이 품질과 수율에 큰 영향을 주는 것을 확인했습니다. 또, HP4145B로 특성측정을 하고 ORIGIN으로 Data 분석을 하며 해석력과 문제해결력을 키울 수 있었습니다. 이러한 경험을 살려 세밀한 공정관리를 통해 품질 향상과 단위 공정의 최적화를 이뤄내겠습니다.[소통과 협력의 리그위원장]중앙축구동아리 oo의 리그위원장으로서 교내 14개 축구동아리가 참가하는 1년제 대회를 직접 운영했습니다. 원활한 대회운영을 위해 학교와 참가팀과 충분한 소통을 했고 경기일정, 운동장 대관, 물품구매 등을 리그위원회와 분담하여 주체적으로 계획했습니다. 개막 후 경기일정에서 갈등이 생겼지만, 지속적인 대표자회의를 통해 개선하여 상호 협력적 관계를 만들었습니다. 또 더 큰 소통과 관심을 위해 페이스북에 ‘르풋리그’ 페이지를 개설하여 경기결과와 각종 이벤트를 홍보했습니다. 그 결과, 대회 스폰서를 얻어 대회운영비를 절감하여 축구동아리들로부터 신뢰와 인정을 받았고 결과적으로 대회가 성공적으로 마무리 될 수 있었습니다.                         1,022자1,667                    "
"20","이제는 태블릿 PC로 직접 주문과 적립을 하는 시대입니다. Display는 더 이상 출력이 전부가 아니며 IoT 성장에 따라 OLED는 더욱 주목받을 것입니다. 이러한 성장 가능성을 통해 OLED에 관심을 키웠습니다. LG Display는 POLED를 차량용 CID에 탑재하는 등 차별화된 노력으로 지속적인 성장을 하고 있습니다. 이러한 OLED 시장 지배에는 높은 수율과 가격 경쟁력 확보가 필수라고 생각합니다. 효율적인 공정관리를 통해 최고 경쟁력 생산체제를 구축하겠습니다. 이로써 Global No.1 LG Display를 이끌어 나가겠습니다.[OTFT 제작 경험]‘Insulator 종류에 따른 Flexible TFT 제작 및 특성연구‘ 프로젝트는 Display 연구를 넘어 실제 공정운영까지 이해하는 데 큰 도움이 됐습니다. 저는 소자 제작과 장비 운용을 하며 발생 가능한 공정오류를 고려했습니다. 특히 이물에 의한 특성저하 때문에 실험을 수차례 반복하며 공정운영이 품질과 수율에 큰 영향을 주는 것을 확인했습니다. 또, HP4145B로 특성측정을 하고 ORIGIN으로 Data 분석을 하며 해석력과 문제해결력을 키울 수 있었습니다. 이러한 경험을 살려 세밀한 공정관리를 통해 품질 향상과 단위 공정의 최적화를 이뤄내겠습니다.[소통과 협력의 리그위원장]중앙축구동아리 oo의 리그위원장으로서 교내 14개 축구동아리가 참가하는 1년제 대회를 직접 운영했습니다. 원활한 대회운영을 위해 학교와 참가팀과 충분한 소통을 했고 경기일정, 운동장 대관, 물품구매 등을 리그위원회와 분담하여 주체적으로 계획했습니다. 개막 후 경기일정에서 갈등이 생겼지만, 지속적인 대표자회의를 통해 개선하여 상호 협력적 관계를 만들었습니다. 또 더 큰 소통과 관심을 위해 페이스북에 ‘르풋리그’ 페이지를 개설하여 경기결과와 각종 이벤트를 홍보했습니다. 그 결과, 대회 스폰서를 얻어 대회운영비를 절감하여 축구동아리들로부터 신뢰와 인정을 받았고 결과적으로 대회가 성공적으로 마무리 될 수 있었습니다.                         1,022자1,667                    "
"21","[공학도로서의 가치 실현]시바타 아키오의 ‘자원전쟁‘을 읽으며 공학도로서의 가치에 대해 깊은 고민을 해본 적이 있습니다. 공학도는 많은 사람이 더욱 편하고 우수한 생활을 누릴 수 있게 만드는 사람이라고 생각합니다. 우수한 제품을 생산하기 위해서는, 최적의 생산시스템을 통해 원가절감과 완벽한 품질을 이뤄내는 것이 최우선 과제입니다. 이에 차별화된 시스템 개발과 적재적소에 맞는 소재의 지원으로 제품의 가치를 최대로 끌어내는 LG전자 생산기술원 연구원은 제가 생각하는 공학도의 모습입니다.소재가 생산기술에 미치는 영향은 점점 커지고 있습니다. 반도체 연구실 CO-OP 기간, 설비 내 이물에 의한 특성저하 때문에 실험을 수차례 반복하며 생산방식과 장비가 생산성에 큰 영향을 주는 것을 확인했습니다. 두 번의 인턴실습으로 전공인 고분자뿐만 아니라, 금속에 대한 역량을 쌓았고, OSP, ENIG 등 PCB 표면처리 기술과 전자재료 실장기술의 고성능, 집적화 및 친환경화 동향을 직접 보고 분석했습니다. 이러한 역량을 바탕으로 LG전자 고유의 생산시스템으로서 생산성 향상과 전자 생산기술의 혁신을 이끄는 생산기술원 연구원이 되겠습니다.[소통과 협력의 리그위원장]생산기술원 연구원은 설계, 공정 등의 유관부서뿐만 아니라, 고객사의 요구를 정확히 이해하고 최대의 효과를 내기 위해 소통과 협력이 필요합니다.중앙축구동아리 르풋의 리그위원장으로 교내 14개 축구동아리가 참가하는 1년제 대회를 직접 운영했습니다. 원활한 운영을 위해 학교, 리그위원회와 충분한 소통을 하면서 경기일정, 구장대여, 물품구매를 분담하고 계획했습니다. 개막 후 참가팀과 경기일정에서 갈등이 생겼지만, 지속적인 대표자 회의로 개선하여 상호 협력적인 관계를 만들었습니다. 또한, 리그 개선을 위해 시행한 설문조사로 홍보가 부족함을 알게 됐고 SNS에 ‘르풋리그‘ 페이지를 개설하여 경기결과, 각종 이벤트를 공유했습니다. 그 결과 대회 스폰서를 얻어 운영비를 절감했고 결국 성공적인 대회로 마칠 수 있었습니다.                         1,022자1,741                    "
"22","B2B영업은 기업들에게 필요한 서비스의 제공 및 환경 구축에 필요한 솔루션을 제안합니다. 따라서 문제상황에 적절한 ‘솔루션 제시’, 고객의 만족을 위한 ‘책임감’이 필요합니다.문제상황에 있어 가장 최적화된 솔루션을 생각하기 위해 노력하는 사람입니다. 한 번은 oo이란 학교 소모임의 후원금 확보를 위해 ‘비영리 임의단체 조직’승인을 받아 동아리 명의의 통장을 개설하여 정기적 후원과 재정의 투명성을 확보하는 데 성공하였습니다.기존의 후원방식은 회장 개인 계좌를 통해 이루어졌습니다. 하지만 정기적 후원이 불가능했으며 회계자료를 작성하기 어려워 투명성을 증명하기 어려웠습니다. 문제에 대해 고민하던 중 다수의 비영리 단체들이 그들 조직명의로 통장을 개설하여 지원받는다는 사실을 착안하였습니다. 이와 같은 방식이라면 문제가 해결될 수 있다 생각해 건의하였습니다. 세무서에 들려 ‘비영리 임의단체 고유번호’를 발급받고 은행에 제시해 동아리 명의의 계좌를 만들 수 있었습니다. 문제상황에 대해 깊이 사고한 결과, 최적의 대안을 제시할 수 있었습니다. LG전자에서도 고객의 상황을 고려하여 최적의 전자 솔루션을 제공하는데 주력하겠습니다.또한, 고객 만족을 위해 책임감을 가지고 최선을 다하는 사람입니다. ooo에서 일을 할 당시 매니아층을 보유한 ‘에반게리온’이라는 영화가 상영 중이었습니다. 관련 포스터를 배부하였는데 특성상 이를 위해 온 고객들이 대다수였습니다. 한번은 재고가 부족하여 클레임을 받게 되었습니다. 방책을 찾지 못하던 중 근처 신도림ooo에 전화를 해 재고를 확인하고 협조를 요청하였습니다. 충분한 재고가 있음을 확인하고 해당 관객들에게 관람 후 포스터 배부를 약속하였습니다. 아르바이트 신분에서 단순히 넘어갈 수 있는 사안이었으나 책임감을 느끼고 해결에 힘쓴 결과, 고객만족을 실현할 수 있었습니다. 서비스를 제공하는 B2B영업의 평가는 고객만족도로 이루어질 것입니다. 고객이 만족할 수 있을 때까지 B2B영업사원으로서 책임감을 가진 자세로 임하겠습니다.                         1,008자1,741                    "
"23","[‘S-리그’ 운영, 값진 경험]누군가 제게 대학생활 동안 가장 열정적으로 임했던 일을 물어본다면 저는 한치의 망설임도 없이 ‘S-리그’ 운영이라 대답할 것입니다. ‘S-리그’는 학교의 지원 없이 저희 동아리에서 10년 넘게 운영해온 교내 축구 리그로서 14개의 팀, 500명 정도의 선수가 등록 된 전통과 규모를 자랑하는 행사입니다. 막중한 책임감과 부담감에 고민도 많았지만, ‘Lefoot’의 역사와 자부심인 ‘S-리그’에 애착이 있는 만큼 리그를 성공적으로 운영하고 싶었기에 ‘2014년 S-리그’ 운영을 맡았습니다.제가 리그를 운영하고 기획하면서 얻은 수많은 배움 중 하나는 소통과 협업입니다. 여러 팀들이 참여하는 만큼 리그를 운영함에 있어 다양한 애로사항이 나타났습니다. 특히 경기 일정을 조율함에 있어 소규모 과 동아리의 경우 수업 등의 이유로 경기 진행이 되지 않는 경우도 있었습니다. 저는 각 동아리의 대표자들과 수시로 연락하며 이를 조율하였고, 소규모 동아리들도 리그에 적극적으로 참여할 수 있는 환경을 만들고자 정기적으로 대표자회의를 열어 소통할 수 있는 여건을 만들었습니다. 또한 규모가 큰 행사인 만큼, 리그 위원회 구성을 통해 리그 운영에 필요한 업무를 세부적으로 분담하여 효율성을 높이고 부담을 덜어냈습니다. 이외에도 지역 프로축구팀과의 협조를 통해 리그 운영에 필요한 축구용품을 지원받는 성과를 거두었습니다.저는 리그 운영을 통해 다양한 사람들과 소통하며 의견을 조율하고 협업하는 자세를 배웠습니다. 또한 1년 동안 100경기가 넘는 빡빡한 리그 일정을 소화하기 위해 날씨, 운동장 대여 여부, 시험기간, 학교행사 등 다양한 변수들을 고려하며 일정을 계획했습니다. 이를 통해 실제 생산 프로세스 내에선 더 많은 제약과 변수가 존재하므로 생산계획을 수립함에 있어 모든 경우의 수를 철저히 대비해야 함을 배웠습니다. 이 소중한 경험과 배움을 자산으로 삼아 LG전자 생산기술원에서 최적의 생산계획으로 LG전자의 생산성 향상에 기여하는 인재가 되겠습니다.                         1,020자1,730                    "
"24","[My Dream, I Will Display]올해 5월 코엑스에서 진행된 WIS에 참관했습니다. 그 곳에서 본 LG의 기술력은 정말 압도적이었습니다. 다른 대기업들과 같은 넓이의 부스임에도 훌륭한 제품이 많아 상당히 좁게 느껴졌습니다. 그 중 77인치 LG SIGNATURE TV, 4m가 넘는 LG SIGNAGE 등 LG디스플레이 관련 제품은 제 발걸음을 한동안 멈추게 했습니다. 그 후로 제 관심사는 온통 LG디스플레이였고 관련 자료를 찾아보던 중 5분짜리 OLED광고를 보게 되었습니다. 전율이 흘렀습니다. 머지않은 미래에 구현될 이 기술들을 제가 양산하는 OLED로 만들겠다고 다짐했습니다.[공정 전문가를 꿈꾸며]전자공학과에서 4년간 강의를 들으며 반도체와 회로에 대한 지식을 다졌습니다. Tunneling, P-N Junction, BJT, MOS-FET 등을 배웠고, 실험을 통해 직접 회로를 구현해 보며 엔지니어의 꿈을 키웠습니다. OLED 공정 전문가가 되기 위해 LG디스플레이 입사를 목표로 많은 공부를 했습니다. LG디스플레이를 업계 1위로 만들어 준 IPS는 액정 분자를 수평으로 정렬하여 시야각이 넓어졌고 단점으로 지적되던 것들을 UV 배향, 편광판, HDR 기술로 극복하고 있습니다. 또한, Advanced In-Cell touch에 유리해 앞으로의 시장에서도 우위에 있습니다. 그 외에도 RGB 발광물질을 수직 적층한 WRGB기술, 대형화에 유리한 Oxide TFT 등 많은 기술들을 미리 알아보았습니다,                         765자1,180                    "
"25","인턴 경험으로 얻은 나의 목표저는 인턴 활동을 통해 앞으로 하고자 하는 직무를 정할 수 있었습니다. 영어 점수나 자격증에 목 맬 시기인 3학년 겨울방학까지, 미래에 무슨 일을 해야 할지 전혀 감이 잡히지 않았습니다. 남들을 따라 스펙에 목매기 보다 제가 미래에 갈 길을 정하고자 했습니다.인턴활동 시작 후 제조업 회사의 생산 엔지니어로 배치 되었습니다. 그리고 맞닥뜨리게 된 엔지니어의 업무는 현장에서만 근무 할 것이라는 생각과는 전혀 달랐습니다. 방진복을 입고 라인에 들어가서는 웅장한 라인 시설과 정교하게 한치의 오차도 없이 움직이는 기계들에 감명을 받았습니다. 그 후 제가 고등학교 때부터 원했던 전공인 화학공학이 주인공이 될 수 있으며 거대한 설비를 관리하고 이에 관련된 문제 해결이나 개선 업무를 하는 생산 엔지니어를 목표로 설정하게 되었습니다.소통하는 화학공학 엔지니어저는 LG하우시스에서의 목표를 이루기 위해 3가지 역량을 준비해왔습니다.첫 번째, 직무 기초지식입니다. 화학공학을 전공하면서 화학 관련 기초 지식뿐만 아니라 화학 물질이 사용되는 공정에 관련된 반응공학 같은 과목을 수강하였습니다. 또한 업무 중 라인에서 발생할 수 있는 문제의 개선을 위한 식스시그마 자격증도 취득하였습니다. 입사 후 이런 직무 기초지식을 업무에 잘 녹여 시너지를 내겠습니다.두 번째, 직무 관련 실습 경험입니다. 제조업 생산부서에서의 인턴활동을 통해서 직무에서 하는 일을 체험할 수 있었습니다. 이 경험을 통해 LG하우시스에 입사 후 빨리 적응하여 목표를 이루기 위해 좀 더 빨리 나아가겠습니다.세 번째, 소통능력입니다. 엔지니어로서 다른 부서 팀원들과 혹은 현장 경험이 많은 생산직 근무자 분들과 입장차이가 발생할 수도 있습니다. 저는 동아리 단장으로 활동하며 내부 임원뿐만 아니라 동문 분들, 학교나 기업관계자 등 다양한 이해 관계자들과 의견을 조율하며 다양한 활동을 기획하였었습니다. 이 경험을 살려 누구와도 소통을 통한 원활한 협업을 이끌어내겠습니다.                         1,020자1,741                    "
"26","[ 열정 있는 지원자를 찾아서.]목욕 봉사 동아리에서 ""면접""시스템을 도입했던 경험이 있습니다. 목욕 봉사가 힘든 일이기에 6개월 내에 탈퇴율이 50%에 달했습니다. 봉사 인력이 부족하다 보니 회원 모집 시, 지원자는 다 받아주었습니다. 열정 없이 들어오는 사람이 많아 탈퇴율이 높은 악순환 구조가 반복되었습니다. 그 사람들을 걸러내기 위해 저를 포함한 운영진들이 힘을 합쳐 면접시스템을 도입했습니다. 그리고 그 이후로는 탈퇴율이 급감하였습니다.[ 목적 없이는 결과도 안 좋다. ]저는 인문학 전공자입니다. 그러나 ""국제경영론""이라는 경영학과 과목에 도전한 적이 있었습니다. 저는 경영학과 수업이 처음임에도, 욕심이 생겨 7번의 시험 동안 밤을 새가며 공부하였습니다. 결과는 85 명중에 30등을 하며 B+라는 점수를 받았습니다. 그때는 공부를 하면서 ""저만의 뚜렷한 동기""가 없었고 단순히 학점을 잘 받고자 하는 욕심에만 공부를 했기에 결과도 좋지 않았다고 생각합니다.                         507자849                    "
